nome,comune,indirizzo,lat,lon,referente,telefono,cer_code,descrizione,principale,note
CARTAMACERO di Bertolino,Leini,Via Muzio 24 (b.ta Muzio - Leini),,,Tiziana Gallon,3491865160,20.01.01,Carta e cartone,1,
INNOVA ECOSERVIZI SRL,Venaria Reale,Corso Cuneo 52 - Venaria,,,Davide Manoni,3485749023,15.01.02,Imballaggi in plastica,1,
